tournament_id,start_time,name
2026_sony_open,1/15/2026,Sony Open in Hawaii
2026_american_express,1/22/2026,The American Express
2026_farmers_insurance,1/29/2026,Farmers Insurance Open
2026_wm_phoenix,2/5/2026,WM Phoenix Open
2026_att_pebble_beach,2/12/2026,AT&T Pebble Beach Pro-Am
2026_genesis_inv,2/19/2026,The Genesis Invitational
2026_cognizant_classic,2/26/2026,Cognizant Classic
2026_arnold_palmer,3/5/2026,Arnold Palmer Invitational
2026_puerto_rico_open,3/5/2026,Puerto Rico Open
2026_the_players,3/12/2026,THE PLAYERS Championship
2026_valspar,3/19/2026,Valspar Championship
2026_texas_children,3/26/2026,Texas Children's Houston Open
2026_valero_texas,4/2/2026,Valero Texas Open
2026_masters,4/9/2026,Masters Tournament
2026_rbc_heritage,4/16/2026,RBC Heritage
2026_zurich_new_orleans,4/23/2026,Zurich Classic of New Orleans
2026_miami_championship,4/30/2026,Miami Championship
2026_truist,5/7/2026,Truist Championship
2026_oneflight_myrtle,5/7/2026,ONEflight Myrtle Beach Classic
2026_pga,5/14/2026,PGA Championship
2026_cj_cup,5/21/2026,THE CJ CUP Byron Nelson
2026_charles_schwab,5/28/2026,Charles Schwab Challenge
2026_memorial,6/4/2026,the Memorial Tournament
2026_rbc_canadian,6/11/2026,RBC Canadian Open
2026_us_open,6/18/2026,U.S. Open
2026_travelers,6/25/2026,Travelers Championship
2026_john_deere,7/2/2026,John Deere Classic
2026_open_championship,7/16/2026,The Open Championship
2026_corales_puntacana,7/16/2026,Corales Puntacana Championship
2026_3m_open,7/23/2026,3M Open
2026_rocket,7/30/2026,Rocket Classic
2026_wyndham,8/6/2026,Wyndham Championship
2026_fedex_st_jude,8/13/2026,FedEx St. Jude Championship
2026_bmw,8/20/2026,BMW Championship
2026_tour,8/27/2026,TOUR Championship
2026_biltmore_asheville,9/17/2026,Biltmore Championship Asheville
2026_presidents_cup,9/24/2026,Presidents Cup
2026_bank_utah,10/1/2026,Bank of Utah Championship
2026_baycurrent,10/8/2026,Baycurrent Classic
2026_butterfield_bermuda,10/22/2026,Butterfield Bermuda Championship
2026_vidanta_mexico,10/29/2026,VidantaWorld Mexico Open
2026_world_wide_tech,11/5/2026,World Wide Technology Championship
2026_good_good,11/12/2026,Good Good Championship
2026_rsm,11/19/2026,The RSM Classic
2026_hero_world,12/3/2026,Hero World Challenge
